"ID","Nombre","Referencia","Precio","Cantidad","Categoría","Imagen URL"
"204","Cera para depilar en Roll on. Pink","ES-ROLLONPK","1.528000","1000","Ceras depilatorias","https://wemmiprofesional.com/img/p/2/0/4/204-large_default.jpg"
"205","Cera para depilar en Roll on. Chocolate","ES-ROLLONCH","1.528000","1000","Ceras depilatorias","https://wemmiprofesional.com/img/p/2/0/5/205-large_default.jpg"
"206","Cera para depilar en Roll on. Aloe vera","ES-ROLLONALO","1.528000","997","Ceras depilatorias","https://wemmiprofesional.com/img/p/2/0/6/206-large_default.jpg"
"207","Cera para depilar en Roll on. Vino","ES-ROLLONVI","1.528000","1000","Ceras depilatorias","https://wemmiprofesional.com/img/p/2/0/7/207-large_default.jpg"
"208","Cera para depilar en Roll on. Natural","ES-ROLLONAT","1.528000","1000","Ceras depilatorias","https://wemmiprofesional.com/img/p/2/0/8/208-large_default.jpg"
"209","Cera para depilar en Roll on. Azul","ES-ROLLONAZ","1.528000","1000","Ceras depilatorias","https://wemmiprofesional.com/img/p/2/0/9/209-large_default.jpg"
"210","Cera depilatoria baja fusión 1000 g. Vino","ES-CVI1000G","8.471000","1000","Ceras depilatorias","https://wemmiprofesional.com/img/p/2/1/0/210-large_default.jpg"
"211","Cera depilatoria baja fusión 1000 g. Pink","ES-CPK1000G","8.471000","1000","Ceras depilatorias","https://wemmiprofesional.com/img/p/2/1/1/211-large_default.jpg"
"212","Cera depilatoria baja fusión 1000 g. Vegetal","ES-CVG1000G","8.471000","1000","Ceras depilatorias","https://wemmiprofesional.com/img/p/2/1/2/212-large_default.jpg"
"642","Cera depilatoria baja fusión 1000 g. Marfil","ES-CVG1000G","8.471000","1000","Ceras depilatorias","https://wemmiprofesional.com/img/p/6/4/2/642-large_default.jpg"
"643","Cera depilatoria baja fusión 1000 g. Azul","ES-CVG1000G","8.471000","1000","Ceras depilatorias","https://wemmiprofesional.com/img/p/6/4/3/643-large_default.jpg"
"644","Cera depilatoria baja fusión 1000 g. Chocolate","ES-CVG1000G","8.471000","1000","Ceras depilatorias","https://wemmiprofesional.com/img/p/6/4/4/644-large_default.jpg"
"1016","Parafina Manteca-Karité 500 g.","ES-PARAKAR","6.735000","1000","Ceras depilatorias","https://wemmiprofesional.com/img/p/1/0/1/6/1016-large_default.jpg"
"1017","Parafina Naranja-Melocotón 500 g.","ES-PARANAR","6.735000","1000","Ceras depilatorias","https://wemmiprofesional.com/img/p/1/0/1/7/1017-large_default.jpg"
"174","Empujador de cutícula Mod. 01","NA-EMP01","3.264000","1000","Complementos","https://wemmiprofesional.com/img/p/1/7/4/174-large_default.jpg"
"175","Empujador de cutícula Mod. 02","NA-EMP02","3.264000","1000","Complementos","https://wemmiprofesional.com/img/p/1/7/5/175-large_default.jpg"
"176","Empujador de cutícula Mod. 03","NA-EMP03","3.264000","1000","Complementos","https://wemmiprofesional.com/img/p/1/7/6/176-large_default.jpg"
"177","Empujador de cutícula Mod. 04","NA-EMP04","3.264000","1000","Complementos","https://wemmiprofesional.com/img/p/1/7/7/177-large_default.jpg"
"178","Empujador de cutícula Mod. 05","NA-EMP05","3.264000","1000","Complementos","https://wemmiprofesional.com/img/p/1/7/8/178-large_default.jpg"
